Suburb,Address,Type,Price,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Latitude,Longitude,Regionname
Albion,1/121 Anderson Rd,u,200000,VB,FN,13.9,3020,1,1,1,,-37.7849,144.8272,Western Metropolitan
Balwyn North,1 Hosken St,h,2800000,S,Marshall,9.7,3104,5,2,2,1157,-37.80385,145.09094,Southern Metropolitan
Elsternwick,12/539 Glen Huntly Rd,u,550000,S,Biggin,7.2,3185,2,1,1,,-37.88533,145.01049,Southern Metropolitan
Ashburton,59 Winton Rd,h,2550000,S,Marshall,10.2,3147,3,2,3,1155,-37.87253,145.0705,Southern Metropolitan
Elwood,1/10 Wilton Gr,t,1350000,S,hockingstuart,7.7,3184,3,2,2,1153,-37.8831,144.9801,Southern Metropolitan
Murrumbeena,1/1 Nangana Rd,u,602000,S,hockingstuart,10.1,3163,2,1,1,,-37.88674,145.07234,Southern Metropolitan
Glen Huntly,8/131 Grange Rd,u,260000,SP,Woodards,10.4,3163,1,1,1,,-37.8911,145.0451,Southern Metropolitan
Doncaster,329 George St,h,1924500,S,Barry,13.9,3108,4,4,2,1150,-37.7779,145.127,Eastern Metropolitan
Doncaster,41 Highview Dr,h,1310000,S,Darren,13.9,3108,3,1,2,1149,-37.7934,145.1336,Eastern Metropolitan
West Footscray,8/102 Cross St,u,480000,SP,Jas,6.4,3012,2,1,1,,-37.80029,144.87859,Western Metropolitan
St Kilda,5/69 Wellington St,u,580000,PI,McGrath,6.1,3182,2,1,1,,-37.8568,144.9873,Southern Metropolitan
Mont Albert,1/11 Rowland St,t,1580000,S,Marshall,10.2,3127,3,2,2,1145,-37.82055,145.11169,Eastern Metropolitan
Hawthorn East,5/107 Victoria Rd,u,655250,SP,Marshall,7.5,3123,2,1,1,,-37.8227,145.0528,Southern Metropolitan
Seaford,43 Molesworth St,h,800000,VB,Harcourts,35.4,3198,4,2,0,1143,-38.11336,145.15035,South-Eastern Metropolitan
Avondale Heights,1/75 Canning St,u,470000,S,Brad,9.5,3034,2,1,1,,-37.77091,144.86571,Western Metropolitan
Mont Albert,48 Kenmare St,h,2588000,SP,Fletchers,11.8,3127,3,3,2,1140,-37.812,145.1095,Eastern Metropolitan
Balwyn,18 Fitzgerald St,h,3180000,S,Kay,9.7,3103,4,3,4,1138,-37.8088,145.0991,Southern Metropolitan
Prahran,101/323 Dandenong Rd,u,690000,S,McGrath,4.5,3181,2,2,2,,-37.8597,145.0093,Southern Metropolitan
Burwood,35 McCubbin St,h,1890000,S,Ray,11.7,3125,4,2,2,1137,-37.8538,145.127,Southern Metropolitan
Oakleigh,101 Atkinson St,h,2525000,S,Barry,14,3166,4,2,0,1136,-37.8952,145.0928,Southern Metropolitan
Eaglemont,10 Silverdale Rd,h,2270000,VB,Miles,8.9,3084,3,1,2,1136,-37.76774,145.05303,Eastern Metropolitan
Sunshine West,73 Hilma St,h,760000,S,Barry,10.5,3020,3,1,2,1135,-37.79135,144.79948,Western Metropolitan
Brunswick,23/10 Breese St,u,501000,S,Nelson,5.2,3056,2,1,1,,-37.7634,144.9616,Northern Metropolitan
Balwyn North,5 Lemon Rd,h,2070000,SP,Jellis,9.2,3104,5,2,1,1133,-37.7928,145.1006,Southern Metropolitan
Balwyn North,7 Lemon Rd,h,2050000,S,Jellis,9.7,3104,4,1,1,1132,-37.79284,145.10082,Southern Metropolitan
Glenroy,6/5 Murrell St,t,420000,VB,Brad,13,3046,2,2,1,1129,-37.7045,144.9204,Northern Metropolitan
Melbourne,1201/565 Flinders St,u,683000,S,MICM,2.8,3000,2,2,1,,-37.8211,144.9559,Northern Metropolitan
Melbourne,103/565 Flinders St,u,360000,VB,Dingle,2.8,3000,1,1,1,,-37.8211,144.9559,Northern Metropolitan
Balwyn North,19 Jacka St,h,3230000,S,Jellis,9.2,3104,4,4,3,1125,-37.8014,145.0892,Southern Metropolitan
Scoresby,72 Arnold Dr,h,1040000,S,Purplebricks,22.2,3179,4,2,2,1124,-37.89496,145.23404,Eastern Metropolitan
Camberwell,19 Thomas St,h,2325000,PI,Marshall,7.8,3124,3,2,2,1123,-37.8426,145.0943,Southern Metropolitan
Ivanhoe East,475 The Boulevard,h,2400000,VB,Miles,9,3079,3,2,2,1119,-37.7715,145.0688,Eastern Metropolitan
Balwyn,1/18 Weir St,u,602000,S,Noel,7.9,3103,2,1,1,,-37.81623,145.0841,Southern Metropolitan
Malvern East,641 Waverley Rd,h,2500000,VB,RT,8.4,3145,3,1,2,1113,-37.87923,145.08955,Southern Metropolitan
Templestowe Lower,19 Howitt Dr,h,1561000,S,Barry,12.4,3107,4,2,2,1113,-37.76497,145.11077,Eastern Metropolitan
Montmorency,19 Davey Rd,h,1160000,S,Ray,16.2,3094,3,2,1,1113,-37.71541,145.11666,Eastern Metropolitan
Bulleen,135 Manningham Rd,h,1085000,PI,Barry,11.8,3105,4,2,1,1112,-37.7679,145.0958,Eastern Metropolitan
St Kilda,9/60 Carlisle St,u,615000,S,hockingstuart,5,3182,2,1,1,,-37.86736,144.98391,Southern Metropolitan
Toorak,7/765 Malvern Rd,u,620000,S,hockingstuart,4.6,3142,2,1,1,,-37.8498,145.0173,Southern Metropolitan
Hawthorn East,10 Mowbray St,h,3255000,PI,Kay,6.2,3123,4,3,3,1110,-37.84283,145.05178,Southern Metropolitan
Viewbank,11 Jedem Cl,h,1612000,S,Miles,8.9,3084,4,2,2,1110,-37.73106,145.10237,Eastern Metropolitan
Carnegie,3/78 Moonya Rd,t,860000,SP,Gary,11.4,3163,3,2,1,1107,-37.8972,145.0642,Southern Metropolitan
Murrumbeena,6/51 Murrumbeena Rd,u,582000,S,Gary,12.1,3163,2,1,2,,-37.8892,145.0664,Southern Metropolitan
Malvern,11/37 Wheatland Rd,u,455000,S,Biggin,5.9,3144,1,1,1,,-37.86561,145.03602,Southern Metropolitan
Kensington,11/33 Rankins Rd,u,666000,S,Nelson,4.2,3031,2,1,2,,-37.7896,144.9321,Northern Metropolitan
Prahran,504/7 King St,u,520000,PI,hockingstuart,4.6,3181,2,2,1,,-37.84968,144.99389,Southern Metropolitan
Ivanhoe,19 Belmont Rd,h,2400000,S,Fletchers,7.8,3079,2,1,0,1101,-37.76778,145.03312,Eastern Metropolitan
Glen Iris,1610 Malvern Rd,h,2250000,VB,Jellis,7.3,3146,4,1,2,1101,-37.85723,145.0547,Southern Metropolitan
Camberwell,9/43 Inglesby Rd,u,615000,S,Noel,7.8,3124,2,1,1,,-37.8347,145.057,Southern Metropolitan
Camberwell,1/43 Inglesby Rd,u,682000,S,Jellis,7.7,3124,2,1,1,,-37.83473,145.05698,Southern Metropolitan
Northcote,12/412 High St,u,680000,SP,McGrath,5.5,3070,2,2,1,,-37.7679,144.9994,Northern Metropolitan
Carnegie,4/49 Coorigil Rd,u,945000,S,hockingstuart,11.4,3163,3,1,2,,-37.8958,145.0603,Southern Metropolitan
Mooroolbark,5 Byron Ct,h,650000,PI,iTRAK,26.5,3138,3,2,2,1097,-37.78695,145.32513,Eastern Victoria
Burwood,16 Renown St,h,2068000,S,Buxton,11.7,3125,3,1,1,1097,-37.8529,145.1222,Southern Metropolitan
Glen Iris,8/12 Osborne Av,u,519500,S,Marshall,7.3,3146,2,1,1,,-37.85724,145.04681,Southern Metropolitan
Box Hill,20 Graham Pl,h,2831000,S,Lindellas,10.9,3128,3,1,3,1096,-37.8164,145.12964,Eastern Metropolitan
Ormond,12/26 Lillimur Rd,u,440000,VB,Gary,11.4,3204,2,1,1,,-37.90188,145.04172,Southern Metropolitan
Toorak,1 Grosvenor Ct,u,1635000,S,Sotheby's,4.6,3142,3,1,0,,-37.8438,145.0303,Southern Metropolitan
Hawthorn,3/566 Glenferrie Rd,u,587500,S,Jellis,4.6,3122,2,1,1,,-37.8271,145.0347,Southern Metropolitan
Armadale,8/74 Denbigh Rd,u,410000,VB,hockingstuart,6.3,3143,2,1,0,,-37.85549,145.0163,Southern Metropolitan
Brunswick West,1/5 Allard St,u,407500,SP,hockingstuart,5.9,3055,2,1,1,,-37.7686,144.9421,Northern Metropolitan
Glen Iris,1/6 Edgar St,u,291000,PI,hockingstuart,9.2,3146,1,1,1,,-37.8576,145.0452,Southern Metropolitan
Kew,4/863 Glenferrie Rd,u,660000,S,Jellis,5.4,3101,3,1,1,,-37.81207,145.0371,Southern Metropolitan
Bayswater,7 Huxley Ct,h,1030000,S,Philip,23.2,3153,4,2,2,1087,-37.85757,145.2615,Eastern Metropolitan
Hampton,10 Talbot St,h,2800000,VB,RT,13.7,3188,4,3,2,1087,-37.9345,145,Southern Metropolitan
Caulfield North,15/496 Dandenong Rd,u,450000,S,Gary,8.1,3161,2,1,1,,-37.8647,145.0232,Southern Metropolitan
Reservoir,163 Spring St,h,790000,S,Ray,11.2,3073,4,2,2,1082,-37.7243,145.0014,Northern Metropolitan
Hawthorn,1/164 Barkers Rd,t,1200000,VB,Noel,5.3,3122,3,2,2,1080,-37.81432,145.03221,Southern Metropolitan
Hawthorn,3/164 Barkers Rd,u,580000,S,hockingstuart,4.6,3122,2,1,1,,-37.8143,145.0322,Southern Metropolitan
Scoresby,17 Gilbert Ct,h,1000000,S,Ray,22.2,3179,3,2,2,1079,-37.89385,145.23848,Eastern Metropolitan
Yarraville,54 Pentland Pde,h,2450000,VB,Village,6.3,3013,6,3,2,1078,-37.81038,144.89389,Western Metropolitan
Toorak,7/49 Bruce St,u,867000,S,Jellis,4.6,3142,2,1,1,,-37.8373,145.0106,Southern Metropolitan
Croydon,46 Vinter Av,h,1005000,S,iTRAK,23,3136,3,1,8,1076,-37.80618,145.27755,Eastern Metropolitan
Richmond,15/104 Rowena Pde,u,355000,SP,Biggin,2.4,3121,1,1,0,,-37.8211,144.99549,Northern Metropolitan
Bentleigh East,40 Chesterville Dr,h,1115000,SP,hockingstuart,13.9,3165,3,2,2,1075,-37.9233,145.0674,Southern Metropolitan
Brunswick,10/66 De Carle St,u,491000,S,Jellis,5.2,3056,2,1,1,,-37.7598,144.9655,Northern Metropolitan
Hawthorn,1/514 Glenferrie Rd,u,1000000,S,Jellis,5.3,3122,3,1,1,,-37.82987,145.03421,Southern Metropolitan
Cheltenham,1/21 Kayden St,u,601000,S,Buxton,17.9,3192,2,1,1,,-37.95745,145.07219,Southern Metropolitan
Surrey Hills,545 Whitehorse Rd,h,2450000,S,Marshall,11.2,3127,5,4,2,1073,-37.8141,145.0936,Southern Metropolitan
Aberfeldie,47 Clifton St,h,1350000,S,Nelson,9.1,3040,3,2,2,1072,-37.7609,144.8905,Western Metropolitan
Ashburton,15 Comas Gr,h,2752000,S,Jellis,11,3147,6,4,2,1070,-37.8714,145.073,Southern Metropolitan
Fawkner,82 Lorne St,h,860000,S,Nelson,12.4,3060,2,1,4,1070,-37.7156,144.9708,Northern Metropolitan
Balwyn North,3/52 Maud St,u,735000,S,Christopher,9.2,3104,2,1,1,,-37.7953,145.0712,Southern Metropolitan
Brighton,9 Sussex St,h,4700000,VB,Hodges,11.2,3186,5,3,2,1069,-37.918,144.9911,Southern Metropolitan
Doncaster,3 Maralee Pl,h,1850000,S,Jellis,13.9,3108,3,1,2,1069,-37.7772,145.1157,Eastern Metropolitan
Ivanhoe East,21 Wilfred Rd,h,1651000,S,Barry,9,3079,3,1,1,1068,-37.7749,145.0549,Eastern Metropolitan
Doncaster,33 Clay Dr,h,2600000,SP,Barry,12.4,3108,4,4,2,1065,-37.79094,145.12733,Eastern Metropolitan
Balwyn North,15 Moody St,h,2910000,S,Marshall,9.2,3104,4,3,2,1064,-37.7975,145.0716,Southern Metropolitan
Newport,83 Elizabeth St,h,2000000,S,Sweeney,8.4,3015,3,1,2,1064,-37.836,144.8784,Western Metropolitan
Greensborough,22 Yangoora Pl,h,925000,SP,Nelson,16.1,3088,4,2,2,1063,-37.69999,145.1279,Northern Metropolitan
Fawkner,42 Hedley St,h,1000000,PI,Ray,12.4,3060,3,1,2,1063,-37.6931,144.9596,Northern Metropolitan
Glen Iris,1/38 Edgar St,u,382000,SP,hockingstuart,9.2,3146,2,1,1,,-37.8547,145.0457,Southern Metropolitan
Altona North,46 Chambers Rd,h,1500000,PI,Greg,9.4,3025,5,3,2,1063,-37.83794,144.84231,Western Metropolitan
Kew,75 Earl St,h,2875000,S,Jellis,5.6,3101,2,1,1,1063,-37.7944,145.0339,Southern Metropolitan
Glen Iris,1 Estella St,h,2920000,S,Marshall,7.3,3146,4,3,3,1061,-37.86224,145.06406,Southern Metropolitan
Surrey Hills,20 Scottsdale St,h,2160000,PI,Jellis,11.2,3127,4,3,4,1060,-37.8324,145.1018,Southern Metropolitan
Oakleigh East,82 Patrick St,h,1900000,PI,Ray,12.3,3166,6,4,3,1060,-37.909,145.12059,Southern Metropolitan
Ashburton,159 Ashburn Gr,h,1320000,PI,Marshall,11,3147,3,1,2,1060,-37.8752,145.0754,Southern Metropolitan
Airport West,3 Deidre Ct,h,895000,PI,Rendina,13.5,3042,3,1,6,1060,-37.7249,144.8728,Western Metropolitan
Meadow Heights,13 Haddon Ct,h,741000,S,Barry,17.4,3048,8,3,1,1060,-37.65826,144.92538,Northern Metropolitan
Hawthorn,9/10 Brook St,u,580000,PI,Fletchers,4.6,3122,2,1,1,,-37.8159,145.0194,Southern Metropolitan
Briar Hill,77 Karingal Dr,h,1030000,S,Nelson,16.1,3088,4,3,3,1058,-37.70591,145.13005,Eastern Metropolitan
Coburg,56 The Grove,h,1900000,VB,hockingstuart,7.8,3058,6,2,2,1057,-37.7523,144.9725,Northern Metropolitan
Oakleigh,3 Ford Av,h,1150000,VB,Woodards,12.3,3166,4,2,2,1057,-37.9073,145.0962,Southern Metropolitan
Heathmont,11 Atunga Ct,h,1031000,S,Fletchers,21.3,3135,4,2,0,1057,-37.82985,145.26176,Eastern Metropolitan
Collingwood,10/30 Mater St,u,713500,S,Jellis,1.6,3066,2,2,1,,-37.7954,144.9868,Northern Metropolitan
Langwarrin,5 Athol Ct,h,650000,VB,O'Brien,41,3910,3,3,2,1056,-38.15752,145.19127,Eastern Victoria
West Footscray,4/38 Hampton Pde,u,266000,S,Sweeney,8.2,3012,2,1,1,,-37.8062,144.8665,Western Metropolitan
Sunbury,43 Ligar St,h,778000,S,Raine,31.7,3429,3,2,1,1054,-37.57858,144.72349,Western Metropolitan
Altona,29 Rose St,h,1780000,SP,Greg,13.8,3018,4,3,6,1054,-37.8681,144.819,Western Metropolitan
Greenvale,35 Hermitage Dr,h,797000,S,Barry,20.4,3059,4,2,2,1053,-37.65467,144.9035,Northern Metropolitan
Windsor,13/14 Newry St,u,450000,PI,hockingstuart,5.1,3181,2,1,1,,-37.8552,145.0005,Southern Metropolitan
Doncaster East,66 Saxonwood Dr,h,1856000,SP,Barry,14.3,3109,6,3,3,1047,-37.78053,145.15567,Eastern Metropolitan
Hawthorn,5/576 Glenferrie Rd,u,418000,S,Dingle,4.6,3122,2,1,0,,-37.8261,145.0349,Southern Metropolitan
St Kilda,8/15 Herbert St,u,640000,S,hockingstuart,6.1,3182,2,1,1,,-37.8715,144.9827,Southern Metropolitan
Templestowe Lower,13 Melaleuca Av,h,2000000,VB,Barry,12.4,3107,6,3,2,1045,-37.77404,145.11703,Eastern Metropolitan
Thornbury,10/11 Kemp St,u,435000,PI,Harcourts,6.5,3071,2,1,1,,-37.7622,144.9953,Northern Metropolitan
Mont Albert,11 Rostrevor Pde,h,2714000,S,Fletchers,11.8,3127,5,2,2,1043,-37.8117,145.1061,Eastern Metropolitan
Sunbury,25 Vaughan St,h,662000,S,Brad,31.7,3429,3,1,2,1042,-37.58319,144.73685,Western Metropolitan
Thornbury,12/45 Woolton Av,u,328000,S,Woodards,7,3071,1,1,1,,-37.76105,144.99532,Northern Metropolitan
Brighton,86 Dendy St,h,3105000,S,Marshall,11.2,3186,4,2,2,1041,-37.9205,145.0012,Southern Metropolitan
Bentleigh,10/21 Bent St,u,420000,PI,Buxton,13,3204,2,1,0,,-37.9158,145.0379,Southern Metropolitan
North Melbourne,12/25 Byron St,u,410000,VB,Jellis,2.3,3051,1,1,1,,-37.802,144.9516,Northern Metropolitan
North Melbourne,5 Hardwicke St,h,516000,SP,Jellis,1.8,3051,2,1,,1039,-37.7983,144.94687,Northern Metropolitan
Windsor,6/213 Dandenong Rd,u,600000,S,hockingstuart,5.1,3181,2,1,1,,-37.8581,144.9972,Southern Metropolitan
Balwyn North,6 Leicester St,h,1670000,S,Jellis,9.2,3104,4,1,4,1038,-37.7908,145.101,Southern Metropolitan
Narre Warren,29 Bradley Tce,h,650000,SP,O'Brien,34.1,3805,3,1,4,1037,-38.03147,145.31126,South-Eastern Metropolitan
Reservoir,192 Edwardes St,h,1700000,PI,Barry,11.2,3073,2,1,6,1037,-37.7152,144.997,Northern Metropolitan
Clayton,22 Burton Av,h,2950000,S,Darras,16.7,3168,3,1,2,1036,-37.92614,145.11713,South-Eastern Metropolitan
Balwyn North,3 Alpha St,h,2170000,SP,Fletchers,9.2,3104,4,2,2,1036,-37.7992,145.0907,Southern Metropolitan
St Kilda,8/98 Barkly St,h,1120000,PI,hockingstuart,6.1,3182,3,2,2,1035,-37.8638,144.982,Southern Metropolitan
Murrumbeena,16/5 Murrumbeena Rd,u,550000,PI,Fletchers,10.1,3163,2,2,1,,-37.88519,145.06715,Southern Metropolitan
Hawthorn,49 Berkeley St,h,5100000,S,Jellis,4.6,3122,3,2,3,1034,-37.8332,145.0366,Southern Metropolitan
Mernda,16 Melliodora Dr,h,780000,SP,hockingstuart,25.9,3754,4,2,2,1034,-37.6017,145.09051,Northern Metropolitan
Kew,3/234 Cotham Rd,u,630000,S,Lindellas,5.4,3101,2,1,1,,-37.80897,145.04759,Southern Metropolitan
Greensborough,15 Carnon St,h,895000,S,Morrison,16.1,3088,3,2,2,1033,-37.69538,145.11543,Northern Metropolitan
St Kilda,11/52 Alma Rd,u,320000,VB,hockingstuart,6.1,3182,1,1,1,,-37.8607,144.9873,Southern Metropolitan
Glen Huntly,2/143 Grange Rd,u,695000,S,hockingstuart,10.4,3163,2,1,1,,-37.8925,145.0456,Southern Metropolitan
Preston,35 James St,h,810000,S,Ray,8.8,3072,4,2,2,1031,-37.7379,144.9851,Northern Metropolitan
Hurstbridge,40 Anzac Av,h,790000,S,Mason,26.1,3099,5,2,2,1031,-37.63826,145.1991,Northern Victoria
St Kilda,3/19 Herbert St,u,520000,PI,Marshall,6.1,3182,2,1,1,,-37.8717,144.9829,Southern Metropolitan
Doncaster,14 Morris St,h,1955000,S,Jellis,13.9,3108,4,2,2,1028,-37.7929,145.1184,Eastern Metropolitan
Chadstone,2 Fitzroy Gr,h,1415500,S,hockingstuart,13.6,3148,3,2,1,1027,-37.8738,145.1095,Southern Metropolitan
Essendon,1/46 Richardson St,u,550000,S,Brad,7.5,3040,2,1,1,,-37.7498,144.91228,Western Metropolitan
Pascoe Vale,33 Snell Gr,h,1375000,VB,Nelson,8.5,3044,4,2,2,1025,-37.71746,144.92955,Northern Metropolitan
Carlton North,2/872 Drummond St,t,765000,S,Nelson,3.2,3054,2,1,1,1025,-37.784,144.9715,Northern Metropolitan
Beaconsfield Upper,6 Paul Gr,h,675000,SP,LJ,39.8,3808,4,2,2,1025,-38.00224,145.41081,Eastern Victoria
Glenroy,15 Stanley St,h,980000,SP,Brad,13,3046,3,2,3,1022,-37.7115,144.9147,Northern Metropolitan
Mount Waverley,24 Sunnyside Rd,h,2000000,VB,Fletchers,14.2,3149,3,1,2,1021,-37.89757,145.11825,Eastern Metropolitan
Eltham,44 Silver St,h,925000,SA,Peter,18,3095,3,1,2,1021,-37.71328,145.14098,Eastern Metropolitan
Bentleigh East,2/16 Argyle St,u,535000,SP,hockingstuart,13.9,3165,2,1,1,,-37.911,145.0711,Southern Metropolitan
Surrey Hills,7 Newton St,h,2100000,PI,Ray,11.2,3127,5,2,2,1020,-37.8286,145.1094,Southern Metropolitan
Templestowe,25 Templemore Dr,h,1350000,VB,Jellis,15.5,3106,4,2,2,1020,-37.75334,145.16655,Eastern Metropolitan
Werribee,43 Stawell St,h,830000,SP,YPA,14.7,3030,3,2,2,1019,-37.90188,144.65138,Western Metropolitan
Werribee,3 Lyall Dr,h,490000,SP,Ray,14.7,3030,3,2,4,1018,-37.90811,144.64373,Western Metropolitan
Essendon,141 Cooper St,h,1990000,S,Barry,8,3040,4,2,2,1017,-37.7415,144.8987,Western Metropolitan
Blackburn,18 Masons Rd,h,1500000,S,Noel,13.4,3130,2,1,1,1017,-37.83189,145.15785,Eastern Metropolitan
Glen Waverley,31 Hampstead Cr,h,1320000,PI,Barry,16.7,3150,4,2,5,1017,-37.90317,145.16607,Eastern Metropolitan
Greensborough,67 Alexandra St,h,1326000,S,Nelson,16.1,3088,3,1,2,1017,-37.70821,145.10405,Northern Metropolitan
Hadfield,3 Charles St,h,1102000,S,Stockdale,12.1,3046,3,1,2,1016,-37.709,144.9434,Northern Metropolitan
Ringwood North,5 Unsworth Rd,h,1283000,S,Philip,19.9,3134,4,2,2,1016,-37.8004,145.23257,Eastern Metropolitan
Croydon,8 Railway Cr,h,1005000,S,McGrath,23,3136,3,1,1,1015,-37.79327,145.28352,Eastern Metropolitan
Newport,69 Oxford St,h,2015000,S,Williams,8.4,3015,5,2,4,1015,-37.8366,144.8769,Western Metropolitan
Glenroy,44 Lytton St,h,1100000,SP,Alexkarbon,11.2,3046,4,2,2,1014,-37.70705,144.91011,Northern Metropolitan
Sydenham,7 Argyll St,h,740000,S,Purplebricks,18,3037,4,2,2,1014,-37.69106,144.75854,Western Metropolitan
Ascot Vale,1/129 The Parade,u,566000,S,Nelson,4.3,3032,2,1,1,,-37.77226,144.90942,Western Metropolitan
Ringwood,5 Jacks Pl,h,1725000,S,Hoskins,19.9,3134,4,2,2,1014,-37.78372,145.25311,Eastern Metropolitan
Rosanna,21 Ruthven St,h,1050000,SP,Miles,11.4,3084,3,1,2,1012,-37.7299,145.0656,Eastern Metropolitan
Balwyn,142 Balwyn Rd,h,1850000,VB,Fletchers,9.7,3103,3,1,1,1012,-37.8074,145.0826,Southern Metropolitan
Footscray,9/3 Gordon St,u,240000,SA,Trimson,5.1,3011,1,1,1,,-37.78778,144.89037,Western Metropolitan
Ascot Vale,75 Maribyrnong Rd,h,2425000,PI,Brad,5.9,3032,6,3,2,1011,-37.7721,144.9184,Western Metropolitan
Ferntree Gully,11 Aitken Ct,h,904000,SP,LJ,24.8,3156,3,1,3,1011,-37.88472,145.26653,Eastern Metropolitan
Werribee,28 Tyrone St,h,750000,SP,YPA,14.7,3030,5,2,2,1011,-37.89407,144.67724,Western Metropolitan
Ferntree Gully,5 Bruce Cr,h,748888,S,Ray,24.8,3156,4,2,4,1011,-37.88189,145.29148,Eastern Metropolitan
Kew,2 Fernhurst Gr,h,2450000,VB,Jellis,5.6,3101,3,2,2,1011,-37.8067,145.0277,Southern Metropolitan
Essendon,54 Cooper St,h,2335000,SP,Barry,7.5,3040,5,2,6,1011,-37.74967,144.8977,Western Metropolitan
Ascot Vale,75 Maribyrnong Rd,h,2250000,PI,Jellis,5.9,3032,6,3,2,1011,-37.7721,144.9184,Western Metropolitan
Surrey Hills,57 Guildford Rd,h,3625000,S,Marshall,10.2,3127,5,3,2,1011,-37.82191,145.09212,Southern Metropolitan
Hawthorn East,452 Barkers Rd,h,3210000,S,Jellis,7.5,3123,5,3,4,1011,-37.8165,145.0505,Southern Metropolitan
Malvern East,431 Wattletree Rd,h,2500000,PI,Jellis,8.4,3145,3,3,3,1011,-37.8652,145.05248,Southern Metropolitan
Balwyn North,3 Chelmsford St,h,2444000,S,Fletchers,9.7,3104,4,2,2,1011,-37.79486,145.08728,Southern Metropolitan
Ivanhoe,6 Carn Av,h,2250000,VB,Nelson,7.8,3079,4,2,2,1010,-37.76231,145.05138,Eastern Metropolitan
Glenroy,33 Kennedy St,h,1158000,S,YPA,13,3046,3,1,1,1010,-37.7115,144.912,Northern Metropolitan
Glenroy,46 Stanley St,h,1025000,S,Burnham,13,3046,4,2,4,1008,-37.712,144.9127,Northern Metropolitan
Kew East,2/13 Westbrook St,u,862000,S,Jellis,7.3,3102,2,1,1,,-37.7972,145.05225,Southern Metropolitan
Sunbury,37 Ligar St,h,763000,S,Brad,31.7,3429,4,2,2,1007,-37.5781,144.72383,Western Metropolitan
Sunbury,64 Station St,h,755000,S,Brad,31.7,3429,3,1,2,1007,-37.58419,144.73188,Western Metropolitan
Essendon,5/8 Violet St,u,440000,S,Brad,8,3040,2,1,1,,-37.7556,144.9132,Western Metropolitan
Balwyn North,5 Grieve St,h,2205000,S,Fletchers,9.2,3104,4,2,2,1007,-37.7982,145.0903,Southern Metropolitan
Eltham,11 Thornton St,h,890000,S,Morrison,18,3095,4,2,2,1006,-37.72881,145.13704,Eastern Metropolitan
Ferntree Gully,41 Trafalgar St,h,805000,S,Harcourts,24.8,3156,3,1,2,1006,-37.89879,145.28866,Eastern Metropolitan
Brighton,7 Wilson St,h,3550000,S,Nick,11.2,3186,3,2,0,1006,-37.9097,144.9981,Southern Metropolitan
Balwyn,262 Union Rd,h,3290000,S,Jellis,9.7,3103,4,3,2,1005,-37.8135,145.0995,Southern Metropolitan
Croydon North,4 Selby Ct,h,857000,S,Philip,23,3136,3,2,1,1005,-37.76653,145.29163,Eastern Metropolitan
Sunbury,6 Richardson Av,h,600000,S,YPA,31.7,3429,4,2,1,1005,-37.57231,144.70429,Western Metropolitan
The Basin,65 Government Rd,h,551200,SP,iTRAK,27,3154,3,1,2,1005,-37.86387,145.31762,Eastern Metropolitan
Ivanhoe,6 Fairy St,h,2600000,S,Miles,7.9,3079,5,3,1,1005,-37.7765,145.0427,Eastern Metropolitan
Cheltenham,78 Albenca St,h,1300000,VB,Buxton,17.9,3192,5,2,2,1004,-37.97404,145.07541,Southern Metropolitan
Ormond,2/21 Lillimur Rd,u,454000,S,Ray,11.4,3204,1,1,1,,-37.90164,145.04139,Southern Metropolitan
Surrey Hills,20 Albert Cr,h,2720000,S,Kay,10.2,3127,4,3,2,1004,-37.82421,145.10352,Southern Metropolitan
Glen Iris,11 Kenilworth Gr,h,1625000,S,Jellis,9.2,3146,4,2,4,1004,-37.8528,145.0487,Southern Metropolitan
Eltham,6 Grove St,h,975000,S,Morrison,18,3095,4,1,2,1004,-37.71119,145.15333,Eastern Metropolitan
Croydon,19 Sevenoaks Av,h,905000,S,Barry,23,3136,5,2,2,1004,-37.78466,145.27326,Eastern Metropolitan
Craigieburn,12 Surrey Ct,h,716000,SP,Stockdale,20.6,3064,3,2,6,1003,-37.60574,144.92548,Northern Metropolitan
Surrey Hills,53 Park Rd,h,2567500,S,Fletchers,10.2,3127,3,2,2,1003,-37.83603,145.10596,Southern Metropolitan
Ivanhoe East,31 Keam St,h,2200000,S,Miles,9,3079,4,2,2,1002,-37.7689,145.0665,Eastern Metropolitan
Burwood,58 Eley Rd,h,1535000,S,Nelson,10.4,3125,4,3,2,1002,-37.84533,145.12764,Southern Metropolitan
Pascoe Vale,24 Bolingbroke St,h,1410000,PI,Brad,9.9,3044,5,3,4,1001,-37.7321,144.9353,Northern Metropolitan
Eltham,25 Leane Dr,h,977500,S,Morrison,18,3095,4,2,3,1001,-37.69999,145.1617,Eastern Metropolitan
North Melbourne,14/7 Curran St,u,550055,SP,Jellis,2.3,3051,2,1,2,,-37.7926,144.9441,Northern Metropolitan
Ivanhoe East,7 Robinhood Rd,h,2100000,S,Miles,9,3079,2,1,2,1000,-37.7752,145.0579,Eastern Metropolitan
Blackburn,2 Furness St,h,1900000,VB,Jellis,13.4,3130,5,3,2,1000,-37.82665,145.1518,Eastern Metropolitan
Balwyn North,64 Greythorn Rd,h,2000000,S,Fletchers,9.2,3104,5,2,2,1000,-37.796,145.0984,Southern Metropolitan
